Kategori Motivasi,Isu,Detail Kata,Probabilitas,Kategori Topik 0,Detail Topik 0,Probabilitas Topik 0,Kategori Topik 1,Detail Topik 1,Probabilitas Topik 1,Kategori Topik 2,Detail Topik 2,Probabilitas Topik 2,Kategori Topik 3,Detail Topik 3,Probabilitas Topik 3,Kategori Topik 4,Detail Topik 4,Probabilitas Topik 4
Peran Anggota Legislatif,Peran Anggota Legislatif,Provinsi,0.060606,Peran Anggota Legislatif,Provinsi,0.060606,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Masyarakat,0.042424,Peran Anggota Legislatif,Masyarakat,0.042424,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Bangun,0.042424,Peran Anggota Legislatif,Bangun,0.042424,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,DPRD,0.042424,Peran Anggota Legislatif,DPRD,0.042424,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Fungsi,0.042424,Peran Anggota Legislatif,Fungsi,0.042424,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Dapil,0.024242,Peran Anggota Legislatif,Dapil,0.024242,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Juang,0.024242,Peran Anggota Legislatif,Juang,0.024242,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Tingkat,0.024242,Peran Anggota Legislatif,Tingkat,0.024242,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Sejahtera,0.024242,Peran Anggota Legislatif,Sejahtera,0.024242,,,,,,,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,Aspirasi,0.024242,Peran Anggota Legislatif,Aspirasi,0.024242,,,,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Juang,0.068027,,,,Pembangunan Daerah,Juang,0.068027,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Bidang,0.047619,,,,Pembangunan Daerah,Bidang,0.047619,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Bangun,0.047619,,,,Pembangunan Daerah,Bangun,0.047619,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Masyarakat,0.047619,,,,Pembangunan Daerah,Masyarakat,0.047619,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Utara,0.027211,,,,Pembangunan Daerah,Utara,0.027211,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Provinsi,0.027211,,,,Pembangunan Daerah,Provinsi,0.027211,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Infrastruktur,0.027211,,,,Pembangunan Daerah,Infrastruktur,0.027211,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Menang,0.027211,,,,Pembangunan Daerah,Menang,0.027211,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Adil,0.027211,,,,Pembangunan Daerah,Adil,0.027211,,,,,,,,,
Pembangunan Daerah,Pembangunan Daerah,Dapil,0.027211,,,,Pembangunan Daerah,Dapil,0.027211,,,,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Masyarakat,0.075758,,,,,,,Pergerakan Nasional,Masyarakat,0.075758,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Hak,0.05303,,,,,,,Pergerakan Nasional,Hak,0.05303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Tingkat,0.05303,,,,,,,Pergerakan Nasional,Tingkat,0.05303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Pihak,0.030303,,,,,,,Pergerakan Nasional,Pihak,0.030303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Perintah,0.030303,,,,,,,Pergerakan Nasional,Perintah,0.030303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Kaum,0.030303,,,,,,,Pergerakan Nasional,Kaum,0.030303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Aspirasi,0.030303,,,,,,,Pergerakan Nasional,Aspirasi,0.030303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Ekonomi,0.030303,,,,,,,Pergerakan Nasional,Ekonomi,0.030303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Dapil,0.030303,,,,,,,Pergerakan Nasional,Dapil,0.030303,,,,,,
Pergerakan Nasional,Pergerakan Nasional,Didik,0.030303,,,,,,,Pergerakan Nasional,Didik,0.030303,,,,,,
