Kategori Target,Detail Kata,Probabilitas,Kategori Topik 0,Detail Topik 0,Probabilitas Topik 0,Kategori Topik 1,Detail Topik 1,Probabilitas Topik 1,Kategori Topik 2,Detail Topik 2,Probabilitas Topik 2,Kategori Topik 3,Detail Topik 3,Probabilitas Topik 3,Kategori Topik 4,Detail Topik 4,Probabilitas Topik 4
Anggota Legislatif,DPRD,0.1204516,Anggota Legislatif,DPRD,0.1204516,,,,,,,,,,,,
Anggota Legislatif,Anggota,0.11294108,Anggota Legislatif,Anggota,0.11294108,,,,,,,,,,,,
Anggota Legislatif,Provinsi,0.08254383,Anggota Legislatif,Provinsi,0.08254383,,,,,,,,,,,,
Anggota Legislatif,Fungsi,0.05417737,Anggota Legislatif,Fungsi,0.05417737,,,,,,,,,,,,
Anggota Legislatif,Jalan,0.036018055,Anggota Legislatif,Jalan,0.036018055,,,,,,,,,,,,
Anggota Legislatif,DPR,0.03375814,Anggota Legislatif,DPR,0.03375814,,,,,,,,,,,,
Anggota Legislatif,Dapil,0.03285808,Anggota Legislatif,Dapil,0.03285808,,,,,,,,,,,,
Anggota Legislatif,Peran,0.025930526,Anggota Legislatif,Peran,0.025930526,,,,,,,,,,,,
Anggota Legislatif,Kursi,0.024489509,Anggota Legislatif,Kursi,0.024489509,,,,,,,,,,,,
Anggota Legislatif,Partai,0.02447954,Anggota Legislatif,Partai,0.02447954,,,,,,,,,,,,
Pembangunan Daerah,Bangun,0.20275635,,,,Pembangunan Daerah,Bangun,0.20275635,,,,,,,,,
Pembangunan Daerah,Daerah,0.13325003,,,,Pembangunan Daerah,Daerah,0.13325003,,,,,,,,,
Pembangunan Daerah,Partai,0.07558675,,,,Pembangunan Daerah,Partai,0.07558675,,,,,,,,,
Pembangunan Daerah,Maju,0.051201213,,,,Pembangunan Daerah,Maju,0.051201213,,,,,,,,,
Pembangunan Daerah,Besar,0.04190186,,,,Pembangunan Daerah,Besar,0.04190186,,,,,,,,,
Pembangunan Daerah,Pilih,0.036384657,,,,Pembangunan Daerah,Pilih,0.036384657,,,,,,,,,
Pembangunan Daerah,Utara,0.034269575,,,,Pembangunan Daerah,Utara,0.034269575,,,,,,,,,
Pembangunan Daerah,Provinsi,0.029916722,,,,Pembangunan Daerah,Provinsi,0.029916722,,,,,,,,,
Pembangunan Daerah,Daya,0.021341937,,,,Pembangunan Daerah,Daya,0.021341937,,,,,,,,,
Pembangunan Daerah,Infrastruktur,0.020946044,,,,Pembangunan Daerah,Infrastruktur,0.020946044,,,,,,,,,
Pertumbuhan Ekonomi,Masyarakat,0.17628676,,,,,,,Pertumbuhan Ekonomi,Masyarakat,0.17628676,,,,,,
Pertumbuhan Ekonomi,Tingkat,0.09238854,,,,,,,Pertumbuhan Ekonomi,Tingkat,0.09238854,,,,,,
Pertumbuhan Ekonomi,Sejahtera,0.090865344,,,,,,,Pertumbuhan Ekonomi,Sejahtera,0.090865344,,,,,,
Pertumbuhan Ekonomi,Ekonomi,0.043345045,,,,,,,Pertumbuhan Ekonomi,Ekonomi,0.043345045,,,,,,
Pertumbuhan Ekonomi,Rakyat,0.029255092,,,,,,,Pertumbuhan Ekonomi,Rakyat,0.029255092,,,,,,
Pertumbuhan Ekonomi,Satu,0.02691491,,,,,,,Pertumbuhan Ekonomi,Satu,0.02691491,,,,,,
Pertumbuhan Ekonomi,Didik,0.026163336,,,,,,,Pertumbuhan Ekonomi,Didik,0.026163336,,,,,,
Pertumbuhan Ekonomi,Kerja,0.022790067,,,,,,,Pertumbuhan Ekonomi,Kerja,0.022790067,,,,,,
Pertumbuhan Ekonomi,Hidup,0.021520445,,,,,,,Pertumbuhan Ekonomi,Hidup,0.021520445,,,,,,
Pertumbuhan Ekonomi,Adil,0.020320434,,,,,,,Pertumbuhan Ekonomi,Adil,0.020320434,,,,,,
Aspirasi Masyarakat,Juang,0.09945567,,,,,,,,,,Aspirasi Masyarakat,Juang,0.09945567,,,
Aspirasi Masyarakat,Aspirasi,0.09419499,,,,,,,,,,Aspirasi Masyarakat,Aspirasi,0.09419499,,,
Aspirasi Masyarakat,Masyarakat,0.08331552,,,,,,,,,,Aspirasi Masyarakat,Masyarakat,0.08331552,,,
Aspirasi Masyarakat,Rakyat,0.08184346,,,,,,,,,,Aspirasi Masyarakat,Rakyat,0.08184346,,,
Aspirasi Masyarakat,Perempuan,0.06453416,,,,,,,,,,Aspirasi Masyarakat,Perempuan,0.06453416,,,
Aspirasi Masyarakat,Program,0.032900926,,,,,,,,,,Aspirasi Masyarakat,Program,0.032900926,,,
Aspirasi Masyarakat,Perintah,0.031189809,,,,,,,,,,Aspirasi Masyarakat,Perintah,0.031189809,,,
Aspirasi Masyarakat,Kaum,0.028874127,,,,,,,,,,Aspirasi Masyarakat,Kaum,0.028874127,,,
Aspirasi Masyarakat,Daya,0.027476488,,,,,,,,,,Aspirasi Masyarakat,Daya,0.027476488,,,
Aspirasi Masyarakat,Penting,0.025375357,,,,,,,,,,Aspirasi Masyarakat,Penting,0.025375357,,,
Pemilihan Umum,2019,0.17426746,,,,,,,,,,,,,Pemilihan Umum,2019,0.17426746
Pemilihan Umum,Menang,0.1615536,,,,,,,,,,,,,Pemilihan Umum,Menang,0.1615536
Pemilihan Umum,Hak,0.1360636,,,,,,,,,,,,,Pemilihan Umum,Hak,0.1360636
Pemilihan Umum,Pemilu,0.1280976,,,,,,,,,,,,,Pemilihan Umum,Pemilu,0.1280976
Pemilihan Umum,PKB,0.10448098,,,,,,,,,,,,,Pemilihan Umum,PKB,0.10448098
Pemilihan Umum,Jadi,0.08500085,,,,,,,,,,,,,Pemilihan Umum,Jadi,0.08500085
Pemilihan Umum,Prov,0.037804786,,,,,,,,,,,,,Pemilihan Umum,Prov,0.037804786
Pemilihan Umum,2024,0.029999506,,,,,,,,,,,,,Pemilihan Umum,2024,0.029999506
Pemilihan Umum,Nasional,0.02162676,,,,,,,,,,,,,Pemilihan Umum,Nasional,0.02162676
Pemilihan Umum,Bela,0.018823171,,,,,,,,,,,,,Pemilihan Umum,Bela,0.018823171
